talk: 10分のタイマーを10時間でセットした	はははっは！
talk: [|1人で][ホラー|恋愛|]映画を見た	次は一緒に見よ
talk: 1人暮らしが終わって悲しい	社会人になったら又一人暮らしできるよ。
talk: DM[が|]うざい	ブロックしちゃえ
talk: ESの[期限|〆切]間違えた	違う企業でも似てるような会社あるはずだよ！
talk: Gだ	逃げるぞ
talk: Gに遭遇した	戦闘態勢！
talk: [JCB|カード][が|]使えなかった	そんなお店願い下げだわ
talk: LINEの通知[が|]こない	設定だね
talk: [SNSで|]悪口を書かれた	無視が一番だよ
talk: SNSをやめたい	私もSNSはやっていない
talk: SNSを使いこなせない	難しいよね
talk: [Suica|パスモ][を|]忘れた	切符チャレンジ！
talk: [Twitterで|]ポエム書く人痛い	地味にそのポエム響いたりするよね
talk: [Twitterで|]悪口書いた	それはやめときな！
talk: V6[が|]解散した	寂しいね
talk: 〆切[が|]迫ってる	あと少し、頑張って！
talk: いいね[が|]もらえない	時間帯じゃない？
talk: いじめられている	相談できる人に相談しよう
talk: おしゃべりかも	誰とでも話せるのは凄い！
talk: おみくじで大凶[が|]出た	ある意味ラッキー！
talk: お互いに無視しあっている	仲直りした方が良いと思う
talk: お化け屋敷はダメでしょ	頑張って
talk: お土産で買ったものが地元でも売っていた	お土産は思い出なんだから、そんなに落ち込まないで！
talk: お寿司にわさび入ってた	大人の階段登った！
talk: お店[が|]定休日だった	他のお店探してみよう
talk: お店[が|]閉まってる	そんな時もあるよ
talk: お店で頼んだ飲み物がまずかった	店員さんに言ってみよう
talk: お弁当忘れた	一緒に買いに行こう
talk: お気に入りの服[が|]汚れちゃった	何とかしてきれいにできないかな…
talk: お気に入りの服汚した	洗濯すれば落ちるかも
talk: お申し出受けた	堂々としてれば大丈夫
talk: お皿を割ってしまった	怪我がなくてよかった！手袋とかで滑らないように気をつけよう!
talk: お腹[が|]痛い	大丈夫？
talk: お腹[が|][空いた|すいた]	キットカット食べる？
talk: お腹[が|]減った	キットカット食べる？
talk: お菓子[が|]おいしくてやめられない	おいしいからしかたない
talk: お財布忘れた	今日は奢ってもらおう
talk: お財布落とした	交番へlet's go！
talk: お金[が|]たまらない	バイトを増やそう
talk: お金[が|]ない	節約力上がるね
talk: お金[が|]ないことに気づいた	空っぽの財布が現れた！
talk: お金が全然たまらない	えいえいおー！
talk: お金[が|]全然ない	それは頑張れ
talk: お金[が|]少し足りない	お金が浮いたよ！
talk: お金[が|]無い	一緒にバイト始めよう！
talk: お金[が|]返ってこない	それはやばい。催促すべきじゃない？
talk: お金を使い過ぎた	稼げ稼げ
talk: お金全部使っちゃった	また稼げば良いよ
talk: お金貯まるかな	貯金箱あるから大丈夫！
talk: お隣さんとうまく話せない	練習していこう
talk: お風呂[が|]壊れた	銭湯に入りに行こう
talk: お風呂のボタン押し忘れた	あー！私もたまにやるやつ！
talk: お風呂の栓[が|]外れてた	それめっちゃショックなやつ…
talk: お風呂の栓をせずに沸かしてしまった	これから気を付けれれば水道ガス代も報われるよ
talk: お風呂入りたくない	うちも入ってない、朝までに入ればオッケー
talk: かぐや姫が月に帰った	実家に帰っただけだよ。また帰ってくるよ。
talk: かわいい子	天使が舞い降りたと思った
talk: けがをした	けがだけで済んでよかったね
talk: こけた	誰も覚えてないよ
talk: これ分かんない	教えてあげるよ
talk: これ食べられない	食べてあげるよ
talk: ご飯[が|]冷たい	１０階にレンジあるよ
talk: ご飯を炊く時の水の分量を間違えた	いろんなご飯の硬さを楽しもう
talk: ご飯を食べ忘れた	次食べるご飯はおいしいだろうなあ
talk: ご飯食べるタイミング逃した！	早く寝て朝早く食べよ！
talk: ささくれ[が|]できた	保湿しよう
talk: さぼりすぎてる	休むことも大切
talk: しょっちゅう忘れ物する	気を付けよう
talk: しょっちゅう転ぶ	気を付けよう
talk: しんどい	推しの為に頑張って
talk: じぶんはなにもできない	そんなことないよ！
talk: すぐに諦めてしまう	周りの人に頼ろう
talk: すっぽかした	そことは縁が無かったんだよ
talk: ずっとゲームをしてしまう	時間決めてやる
talk: ずっと眠い	私もそうなんだよね、お昼寝するといいらしいよ!
talk: ずっと見てしまう	スクリーンタイム機能を使おう
talk: うんち踏んだ	運がついてくるよ
talk: ついてない	毎日ラッキーだったら面白くなくない？
talk: ついチェックしてしまう	私もよくやっちゃうよー！
talk: つらいことなさそうに見えてしまう	周りをハッピーにしてるね
talk: いじけてないかな…	大丈夫！
talk: 名前を勝手に使ったこと怒ってるかな…	怒ってなかったよ！
talk: どうしよう	基本何とかなるから、とりま落ち着け？
talk: どこかに出かけたい	時間調整して!
talk: どっちに進めばいいか分からない	心のコンパスに従おう！
talk: なんだか友達にハブられてるような、	考えすぎじゃない？
talk: におわせ[が|]つらい	見なきゃ良い
talk: にらまれた	無視しよ
talk: にわか雨にあった	風邪ひかないようにね
talk: ばいばい	またね
talk: ひったくりにあった	荷物はそのうち戻ってくるよ
talk: ぴえん	ぱおん
talk: ほしいもの[が|]買えなかった	次はちゃんと予約しよう
talk: ぼんやりとした不安	夏目漱石と同じ悩みだね、まずはどうして不安なのかを考えてみたら？
talk: みんな見てるところで1人でこけた	そんな時もある、次はいいことあるよ”
talk: めっちゃフォロワー減った	ただみんながインスタ辞めただけじゃない？
talk: めっちゃ噛みまくった	わかる、緊張すると噛むよね…
talk: もうすぐ休み	自分の好きなことできるね
talk: もっと成績をよくしたい	もっと勉強しよう
talk: やってみたいけど勇気[が|]出ない	チャレンジしてよくないことはあまりないからやってみるのがいい
talk: やばい	いい意味？悪い意味？
talk: やばい課題	教えてあげるよ
talk: やらかした	君が思っているより、他人は何とも思わないぜ？気にせず挽回が大切。
talk: やりたいことがわからない	色々なことに興味を持ってみよう
talk: やりたくない仕事を続けている	頑張っているね
talk: やる気[が|]出ない	一旦休憩しよ！
talk: やる気[が|]起きない	一緒にやろう
talk: よく怒られてしまう	それだけ期待されてるってことだね
talk: わからん	教えてあげよう
talk: アイス溶けてた	もう一回買おう！
talk: アイディアを貰った	その考え神かよ
talk: アウター欲しいけど高くて買えない	お年玉まで待とう
talk: アカウント[が|]凍結した	問い合わせたらいいんじゃない
talk: アカウントを作りたい	調べよう
talk: アクセルとブレーキ間違えた	瞬発力！！
talk: アニメの推し[が|]亡くなった	それは苦しいね、、
talk: アニメの推し[が|]死んじゃった	あるよね
talk: イケメン見つけた	最高じゃん！
talk: イライラする	寝ればおさまる。
talk: イルミネーション見に行きたいのに混んでる、	混んでるときに行った方が味があるよ
talk: インターン[が|]通らない	合わないってことであきらめな
talk: インターン忘れてた	そこまでの会社だったってことだよ
talk: インターン落ちた	応募しただけえらい
talk: インフルエンザ辛い	お大事に
talk: エアコンを消し忘れた	帰ったら快適だね
talk: オンラインでマイクがonになってた	とりあえず下手なこと話してなければセーフ!!
talk: オンライン授業嫌だ	通勤ラッシュに乗らなくて済むよ！
talk: オートロックで追い出された	服着てただけまし
talk: カギ閉めたっけ	家戻る？
talk: カップルの惚気[が|]多すぎる	ほほえましいね
talk: カレー作ろうと思ったのにルーがなかった	ポトフに変更しよう
talk: ガシャポンで欲しいもの[が|]出なかった	きっと今は運を溜めている段階だから落ち込まないで！
talk: ガチャ[が|]外れた	どんまい
talk: ガチャで神引きしたのが羨ましい	あなたもいつか神引きできるよ
talk: ガチャガチャで同じのが3回も出た	メルカリで売れるよ！
talk: ギャグ[が|]寒い	どんなギャグ？？
talk: クリぼっち	一人の時間も大事
talk: クレーマー[が|]きた	客だからって偉そうだよね
talk: クレーム[が|]来た	クレーム対応お疲れ様です
talk: グッズ売り切れ	それはつらい
talk: グループ内で自分以外で遊んでた	そのグループなんて友達じゃない！
talk: ケーキ[が|]売り切れちゃう	残りものには福がある
talk: ケータイの画面を割った	ケガしないように気を付けてね
talk: ゲーム[が|]攻略できない	地道に進めよう
talk: ゲームで全ロスした	ご愁傷様です
talk: ゲームのデータ飛んだ	一からやり直そ
talk: ゲームのログイン忘れた	それめっちゃ悔しいよね
talk: ゲームをぶっちしてしまった	どんまい…もっといい結果にできるよ
talk: ゲーム機[が|]壊れた	それは最悪だね、データとか大丈夫？？
talk: コップを落としてしまった	新しいものを買おう
talk: コロナ	それ全世界共通の悩み。解決できた君はノーベル賞
talk: コロナこの収束するかな	落ち着くといいね
talk: コロナ太りした	一緒に運動しよう！
talk: コンサートの抽選に落ちた	そっか…次当たるよきっと！
talk: コンタクトなくした	裸眼の世界を楽しもう！
talk: コンタクトを落として何も見えない	頑張って
talk: コンタクト落とした	今日はメガネでイメチェンだ！
talk: コーディングテスト[が|]本当にできない	あれは難しい
talk: ゴキブリに遭遇した	ゴキジェットで頑張って!
talk: ゴキブリを仕留め損ねた	もしかしたら家の外に行ったかもよ
talk: ゴミ出し忘れた	やっちゃった〜
talk: ゴミ箱をひっくり返した	だるいね
talk: サンタさん[が|]来ない	大人になったね
talk: サークルの部員[が|]来ない	連絡してみようか
talk: シフト[が|]急遽入った	その分稼げるよ
talk: シフト入ってないのにバイト行っちゃった	そんな日もあるよ！
talk: シャンプーとリンスを間違えて何回も洗ってしまった	より清潔になったと思おう！
talk: ジムに行きたいのにちゃんと通えるか不安でいけない	やる気次第
talk: ジュースこぼした	( ･᷄∀･᷅ )
talk: ジュースをこぼした	ティッシュあるよ
talk: スイーツを食べられた	名前を書いておこう
talk: スタバの新作[が|]売り切れてた	カロリー摂取抑えられたね
talk: スタバの新作終わった	来年になれば忘れるよ
talk: スタバの新作高すぎ	幸せの代金
talk: ストーリーに講義資料[が|]写ってる	流出はダメだよ
talk: ストーリー非表示にされてた	自分のも非表示にしておこう
talk: スマホ[が|]割れた	買い替えの時期かも
talk: スマホ[が|]壊れた	新しいの買おう
talk: スマホ[が|]繋がらない	気をつけてね
talk: スマホの充電[が|]切れた	勉強に集中できるね
talk: スマホの動作が変	たまにあるよね
talk: スマホの画面[が|]割れた	ちゃんと修理できるといいね…
talk: スマホを忘れた	電気代が浮く
talk: スマホを無くした	えっ？！やばいやん・・・
talk: スマホを落とした	アプリで探せないかな？
talk: スマホ使えない	スマホ使えない時も意外と楽しいよ？
talk: スマホ割れた	そろそろ買い替え時かも
talk: スマホ忘れた	スマホないときついよねー
talk: スーツにジュースこぼした	クリーニングに出そう
talk: スーツケースの鍵なくした	あかなくてもどうにかなる
talk: ズボンのファスナー[が|]開いてた	どんまい、気づいてない人も多いと思うよ
talk: センター[が|]変わっちゃった	次のセンター誰だろうね
talk: タンスの角に足の小指をぶつけた	お大事に
talk: ダイエット[が|]続かない	なかなか難しいよね、、
talk: ダイエットをしたいのに食べてしまう	めっちゃわかる
talk: ダブルブッキングをした	きっと、なんとか調整できるよ！
talk: ダンス[が|]覚えられない	練習あるのみ！たくさん練習頑張って
talk: チケット[が|]外れた	きっと次は当たるよ
talk: チケットなくした	問い合わせればとうにかなる
talk: チケットの抽選期間[が|]終わっていた	きっと運が溜まっているよ！
talk: チケットの販売期間[が|]終わっていた	これからきちんとチェックして忘れないようにすればOK!
talk: チケット取れなかった	次とれるよ
talk: チケット売り切れてた	ライヴビューイングや配信を待とう。
talk: チケット忘れた	係の人に正直に話そう
talk: ツリー飾るの面倒だな	飾った後の感動は頑張った人にしか味わえないよ
talk: ティッシュ[が|]洗濯物の中に	私もよくやっちゃう…
talk: テキスト忘れた	そんな日もある
talk: テスト0点だった	伸び代だらけ！
talk: テスト[が|]できるか分からない	予習を頑張ろう！
talk: テストで0点とった	次がある！
talk: テストでケアレスミスをした	しょうがないよ
talk: テストの結果[が|]悪かった	そういう時もあるよ!次、頑張ろう!
talk: テストの裏に気[が|]付かなかった	表は全部解けたの？
talk: テスト大丈夫かな	正直不安を感じている時点で大丈夫
talk: テスト大丈夫だったかな	終わったことを気にするな！
talk: テスト忘れてた	何とかなるさ
talk: テスト怖い	怖いよね
talk: テスト落ちた	次がんばれ
talk: テスト赤点	知ってた？アインシュタインは物理の成績悪かったんだよ！あれ、ガリレオだっけな？
talk: データ[が|]吹っ飛んだ	それは辛すぎる、次はバックアップしとこう…
talk: データ飛んだ	ゴミ箱確認！！！
talk: デート忘れてた	次に挽回しな
talk: トイレ[が|]混雑していた	女子はねぇ…
talk: トイレにスマホを忘れた	まだあるといいね
talk: トイレめっちゃ並んでる	ドンマイ！
talk: トイレットペーパーをきらした	ペーパーがなくなったことに気づけたのがえらい
talk: ドアの鍵をし忘れた	今日は早く帰ろっか
talk: ドタキャンされた	そのことはもう遊ぶのやめよう
talk: ドラマ見逃した	見逃し配信をチェック！
talk: ナルシスト	一番冷めるやつやん！
talk: ニキビ[が|]痛い	バランスよく食べよう
talk: ニキビできた	皮膚科行こ
talk: ネガティブになってしまう	気楽に行こう
talk: ネットで買った服が思っていたものと違う	それは悲しい
talk: ノンスタ井上	(-_-;)
talk: ハブられた	私がいるよ！
talk: バイキング行きそびれた	欲張って食べて胃もたれせずに済んだね
talk: バイトあること忘れた	社会人だと遅刻は許されないから、今のうちだよ！
talk: バイトあるのに制服忘れた	バイトの友達に貸してくれないか聞いてみよう
talk: バイトでお客さんに水かけた	謝ったら許してくれるよ！
talk: バイトでミスしないかな	きっと大丈夫！
talk: バイトで失敗した	次は気を付けよう
talk: バイトで怒られた	次から頑張ろう
talk: バイトに落ちた	コロナだからしょうがない
talk: バイトの時間を1時間間違えた	1時間早く入れてもらっちゃおう！
talk: バイトミスった	所詮バイトなんだからそこまで気にせんでええ。
talk: バイト先での上司との会話	年上の人と話すのはいい経験だよ
talk: バイト先に馴染めない	私のバイト先どう？
talk: バイト先のシフト[が|]減った	他を探してみてもいいかも
talk: バイト先の人と合わない	仕事に集中して放っておけばOK
talk: バイト先の人と大学で会話したとき	身構えますよね
talk: バイト先の先輩[が|]面倒臭い	聞き流そう
talk: バイト落ちた	向いてなかったんだよ
talk: バイト行きたくない	お金のために頑張ろう
talk: バイト長引いた	給料日の自分が喜ぶ！
talk: バカって言われた	バカっていう方がバーカ！
talk: バカにするように笑われた	それは嫌だね
talk: バカ丸出し	バカの方が楽しいよ！
talk: バス[が|]目の前で行っちゃった	仕方ない、気長に次の待とう！
talk: バス[が|]目の前で行ってしまった	次のバスまで待とう
talk: バズった	最高！
talk: バック忘れた	よくあるよね
talk: バッドエンドの映画を見た	悲しいね、、
talk: バナナですべった	そんなバナナ🍌
talk: パスモ[が|]なくなった	見つかるといいね
talk: パソコン[が|]壊れた	直し方調べよう
talk: パソコンのデータ[が|]全部消えた	次からバックアップを取るようにすればOK
talk: パソコンのデータ[が|]消えた	なんとか復旧できないかな、、、
talk: パソコンの動作が変	再起動したら？
talk: パニック	まずは落ち着いて深呼吸。
talk: パンクした	修理修理ー
talk: パンクした	腕力鍛えられるね
talk: パーマかけたけど全然かからなかった	その美容院には2度と行かないようにしよう
talk: ヒール折れた	韓国ドラマあるある
talk: ピアス穴[が|]膿んだ	お薬塗るといいよ
talk: ピアノの発表会がある	いつも通りやれば大丈夫
talk: ピンチ	今助ける！ヘリを待つんだ！
talk: フォロワー[が|]うるさい	ミュートすればいいんじゃない
talk: フォロワー[が|]伸びない	通信が重たくならずに済むね
talk: フォロワー[が|]増えない	そのうち増えるよ
talk: フォロワーにブロックされた	あなたとは相性が合わなかっただけ
talk: フォロワー増えた	いいね！！！
talk: フォロワー増えない	徐々にがんばろ
talk: フォロワー少なすぎ	私がいるだろ
talk: フォロー外された	きっと間違っちゃったんだよ
talk: フラれた	いやいやいや、恋愛できてるだけええやん
talk: フードコートで席[が|]あいてない	相席でもいい？
talk: ブス	何を思ってそうなったん？
talk: ブロックされた	気にしないで
talk: ブロックされていた	ブロックしかえそう
talk: プレゼントをもらった	最高の友達だね
talk: ヘアアイロン持ってき忘れた	イメチェンできるね
talk: ペット[が|]死んじゃった	いつも心の中にいるよ
talk: ペット[が|]死んだ	悲しいね、、、
talk: ペン忘れた	スマホかパソコンでメモしよう
talk: ホンの充電[が|]ない	イヤホン買っちゃお
talk: ボールペンを忘れた	貸すよ
talk: ポーズ[が|]寒い	どんなポーズ？？
talk: マイペース	のんきなのは心の余裕があるからよ
talk: マウントとられた	かわいそうな人なんだよ
talk: マウント取ってくる	取り返してやれ
talk: マスク[が|]嫌だ	マスクはコロナにとても効果があるんだよ
talk: マスクイケメンだった	それはマジで萎える
talk: ミニストップの新商品[が|]まずい	最近迷走してるよね
talk: ミュートし忘れた	ドンマイ
talk: ミュートし忘れて悪口言っちゃった	一旦何もなかったかのように退出しよう
talk: ミートソースをこぼした	うわああああああ！
talk: ムカつく	多めにみてやれー。悪気はないさ。
talk: メイク[が|]うまくいった	超かわいい
talk: メイク[が|]上手にできない	youtubeで勉強しよう
talk: メール違う人に送っちゃった	その人と話す機会ができたね！
talk: モテ期で辛い	いやいやいや・・・！
talk: モヤモヤする	大声で歌ってストレス発散だ！
talk: ヤバい	大丈夫だから冷静にな。
talk: ライバルに負けるかも	負けないようなことしよう
talk: ライブが中止になった	今度できるといいね
talk: ライブに落ちた	次は絶対に当選するよ
talk: ライブに落選した	ドンマイ次あるよ！
talk: ライブのチケット抽選申し込み忘れた	きっと当日券があるよ
talk: ライブの抽選落ちた	それは悲しい
talk: ライブ外れた	次当たるよ！
talk: リアルタイムで知れる	それも確かに
talk: リップ塗っても乾燥する	本当にそれな
talk: リモコン[が|]ない	探そう
talk: レポート出し忘れた	次がんばろ
talk: レンジ[が|]なくて困った	大切な物だから是非買って欲しいな～
talk: ログインし忘れた	忘れちゃうこともあるよね
talk: ワクチンの副作用	次の日には治るよ
talk: ワクチンの副反応[が|]辛い	すぐ治るから頑張って
talk: ワクチン怖い	いや？意外とそんなことないよ
talk: 一人	え、一人楽しくない？自由やで！
talk: 一生彼氏[が|]できない	そんな訳ない
talk: 上下関係[が|]分からない	敬語使っておけばとりあえずはオッケー
talk: 上司に八つ当たりされた	そんなに深刻に受け止めずに流して聞けばOK
talk: 下着一泊分忘れた	新しいものを買ういい機会だ
talk: 不安がある…	大丈夫よ
talk: 不審者に遭遇した	大丈夫だった？
talk: 卒業ラッシュ[が|]すごい	みんなずっといて
talk: 乗っ取られた	運営に言おう
talk: 乗り物酔いをした	薬を飲んでゆっくり休んでね！
talk: 乗る電車間違えた	間に合えば大丈夫！
talk: 乾燥[が|]ひどい	わかる、保湿しよ
talk: 乾燥して手が痛い	ハンドクリーム塗らないとね
talk: 予定[が|]ダブった	あとの予定はごめんなさい
talk: 予定[が|]入り過ぎている	一回整理してみたら
talk: 予定[が|]埋まらない	私と遊ぼう
talk: 予定すっぽかした	後で謝ろう
talk: 予定をドタキャンされた	今度全額奢ってもらおう
talk: 予約し忘れた	アポなしでも行けるっしょ？
talk: 予約忘れてた	今からでも間に合うかもしれないよ
talk: 予防接種痛い	仕方ない
talk: 事故った	逃げる方がヤバいからね？受け入れて反省しよ。
talk: 事故にあった	命があってよかったね
talk: 事故に遭った	大変！
talk: 二日酔い[が|]辛い	たくさん飲んだんだね、、
talk: 人とぶつかった	運命の相手かも⁉️
talk: 人に話しかけられない	難しいよね
talk: 人の名前を忘れた	仕方ない
talk: 人の名前を間違えた	会話が弾むいい機会だ
talk: 人の名前呼び間違えた	次から気を付けよう
talk: 人の投稿[が|]羨ましい	人は人自分は自分
talk: 人の気持ちを読み取れない	難しいよね
talk: 人を信用できない	自分を信用しよう
talk: 人前でうまく話せない	予行練習して話す前に深呼吸しよう
talk: 人前で転んだ	皆数日後には忘れるから大丈夫
talk: 人前に立つ仕事[が|]ある	頑張って
talk: 人多すぎ	コロナ怖いね
talk: 人生	人生辛いこともあるけどその分楽しいこともあるよな？
talk: 人目線	他人を気にして行動する人生でいいんすか？
talk: 人見知りで初対面の人と打ち解けられない	徐々に仲良くなれれば大丈夫だよ!
talk: 今日の夕飯何つくろうかな	自炊してるのえらい！
talk: 今日の振り返り	自分が気にしてても相手は気にしてないよ
